,subject,task,sensor,start,stop,length,outliers,extended,continuous,fixed,final_start,final_stop,Start_dif,Stop_dif,Start_dif_1s,Start_dif_notes,Stop_dif_1s,Stop_dif_notes,pair_start,pair_stop
79,PDMotion_0015_Test,LA,left_2,10.65,34.3375,23.6875,True,-1.0,3,chunk_extend,24.7375,34.7375,0.2,0.2,0,,0,,24.5375,34.7375
80,PDMotion_0030_Retest,PS,right_1,13.925,20.375,6.45,False,23.925,-1,extended,13.925,23.925,0.0625,0.0625,0,,0,,13.8625,23.925
81,PDMotion_0030_Retest,PS,right_2,13.8625,20.3,6.4375,False,23.8625,-1,extended,13.8625,23.8625,0.0625,0.0625,0,,0,,13.8625,23.925
82,PDMotion_0030_Retest,PS,left_1,25.6,32.125,6.525,False,35.6,-1,extended,25.6,35.6,0.0625,0.0625,0,,0,,25.5375,35.6
83,PDMotion_0030_Retest,PS,left_2,25.5375,34.3125,8.775,False,35.5375,-1,extended,25.5375,35.5375,0.0625,0.0625,0,,0,,25.5375,35.6
84,PDMotion_0030_Retest,HM,right_1,16.675,27.675,11.0,False,-1.0,-1,regular,16.675,27.675,0.25,0.4125,0,,0,,16.675,28.0875
85,PDMotion_0030_Retest,HM,right_2,16.925,28.0875,11.1625,False,-1.0,-1,regular,16.925,28.0875,0.25,0.4125,0,,0,,16.675,28.0875
86,PDMotion_0030_Retest,HM,left_1,45.8875,55.2625,9.375,False,55.8875,-1,extended,45.8875,55.8875,0.0,0.0,0,,0,,45.8875,55.8875
87,PDMotion_0030_Retest,HM,left_2,45.8875,55.525,9.6375,False,55.8875,-1,extended,45.8875,55.8875,0.0,0.0,0,,0,,45.8875,55.8875
88,PDMotion_0030_Retest,FT,right_1,12.2375,17.0875,4.85,False,22.2375,-1,extended,12.2375,22.2375,0.0375,0.0375,0,,0,,12.2,22.2375
89,PDMotion_0030_Retest,FT,right_2,12.2,18.8875,6.6875,False,22.2,-1,extended,12.2,22.2,0.0375,0.0375,0,,0,,12.2,22.2375
90,PDMotion_0030_Retest,FT,left_1,24.875,31.0375,6.1625,False,34.875,-1,extended,24.875,34.875,0.0,0.0,0,,0,,24.875,34.875
91,PDMotion_0030_Retest,FT,left_2,9.7125,32.3375,22.625,True,-1.0,3,pair,24.875,34.875,0.0,0.0,0,,0,,24.875,34.875
92,PDMotion_0030_Retest,TT,right_1,14.125,25.325,11.2,False,-1.0,-1,regular,14.125,25.325,0.025,0.0,0,,0,,14.1,25.325
93,PDMotion_0030_Retest,TT,right_2,14.1,25.325,11.225,False,-1.0,-1,regular,14.1,25.325,0.025,0.0,0,,0,,14.1,25.325
94,PDMotion_0030_Retest,TT,left_1,37.725,47.0375,9.3125,False,47.725,-1,extended,37.725,47.725,2.5375,0.7625,0,,0,,35.1875,47.725
95,PDMotion_0030_Retest,TT,left_2,35.1875,46.9625,11.775,False,-1.0,-1,regular,35.1875,46.9625,2.5375,0.7625,0,,0,,35.1875,47.725
96,PDMotion_0030_Retest,LA,right_1,15.625,34.8,19.175,False,-1.0,-1,regular,15.625,34.8,0.3875,9.5625,0,,1,2.0,15.2375,25.2375
97,PDMotion_0030_Retest,LA,right_2,15.2375,23.8125,8.575,False,25.2375,-1,extended,15.2375,25.2375,0.3875,9.5625,0,,1,2.0,15.2375,25.2375
98,PDMotion_0030_Retest,LA,left_1,25.1,33.3875,8.2875,False,35.1,-1,extended,25.1,35.1,0.025,0.025,0,,0,,25.075,35.1
99,PDMotion_0030_Retest,LA,left_2,25.075,33.225,8.15,False,35.075,-1,extended,25.075,35.075,0.025,0.025,0,,0,,25.075,35.1
100,PDMotion_0018_Test,PS,right_1,16.65,30.2875,13.6375,False,-1.0,-1,regular,16.65,30.2875,0.725,0.1,0,,0,,15.925,30.3875
101,PDMotion_0018_Test,PS,right_2,15.925,30.3875,14.4625,False,-1.0,-1,regular,15.925,30.3875,0.725,0.1,0,,0,,15.925,30.3875
102,PDMotion_0018_Test,PS,left_1,42.3,56.15,13.85,False,-1.0,-1,regular,42.3,56.15,4.625,0.775,1,1.0,0,,42.3,56.925
103,PDMotion_0018_Test,PS,left_2,46.925,50.6875,3.7625,False,56.925,-1,extended,46.925,56.925,4.625,0.775,1,1.0,0,,42.3,56.925
104,PDMotion_0018_Test,HM,right_1,22.35,33.8125,11.4625,False,-1.0,-1,regular,22.35,33.8125,0.6375,0.775,0,,0,,22.35,34.5875
105,PDMotion_0018_Test,HM,right_2,22.9875,34.5875,11.6,False,-1.0,-1,regular,22.9875,34.5875,0.6375,0.775,0,,0,,22.35,34.5875
106,PDMotion_0018_Test,HM,left_1,49.1875,62.3,13.1125,False,-1.0,-1,regular,49.1875,62.3,0.1125,0.4625,0,,0,,49.075,62.7625
107,PDMotion_0018_Test,HM,left_2,49.075,62.7625,13.6875,False,-1.0,-1,regular,49.075,62.7625,0.1125,0.4625,0,,0,,49.075,62.7625
108,PDMotion_0018_Test,FT,right_1,13.425,22.7,9.275,False,23.425,-1,extended,13.425,23.425,4.7125,0.825,1,2.0,0,,8.7125,24.25
109,PDMotion_0018_Test,FT,right_2,8.7125,24.25,15.5375,False,-1.0,-1,regular,8.7125,24.25,4.7125,0.825,1,2.0,0,,8.7125,24.25
110,PDMotion_0018_Test,FT,left_1,45.6875,52.7625,7.075,False,55.6875,-1,extended,45.6875,55.6875,2.475,2.3125,0,,0,,43.2125,55.6875
